product_name,category,num_reviews,rating,product_created,price_unit,,,,,
Disposable - ATF 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Blueberry 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Double Apple 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Grape 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Jack Herer 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Pineapple 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Disposable - Strawberry 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 50, 'label': '1/2 g', 'onSale': False, 'originalPrice': 50}
Double Apple Distillate Dart 0.5g,concentrates,0,0,3/11/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Durban Poison Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Durban Poison Wax 1g,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Grape Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Grape Sundae Wax 1g,concentrates,0,0,2/17/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Green Crack ETOH Shatter 1.0g,concentrates,0,0,2/19/2021,{'unit': 'gram', 'quantity': '1', 'price': 60, 'label': '1 g', 'onSale': False, 'originalPrice': 60}
Indica Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Jack Herer Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Jesus ETOH Shatter 1.0g,concentrates,0,0,2/17/2021,{'unit': 'gram', 'quantity': '1', 'price': 60, 'label': '1 g', 'onSale': False, 'originalPrice': 60}
MAC1 Wax 1g,concentrates,0,0,3/23/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Origyn Banana Whammy Wax 1g,concentrates,0,0,3/15/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Origyn Durban Poison Badder 1g,concentrates,0,0,3/15/2021,{'unit': 'gram', 'quantity': '1', 'price': 70, 'label': '1 g', 'onSale': False, 'originalPrice': 70}
Origyn Mother of Grapes Badder 1g,concentrates,0,0,2/18/2021,{'unit': 'gram', 'quantity': '1', 'price': 70, 'label': '1 g', 'onSale': False, 'originalPrice': 70}
Origyn Sativa Moonrocks 1g,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1', 'price': 80, 'label': '1 g', 'onSale': False, 'originalPrice': 80}
Origyn Tahoe OG Badder 1g,concentrates,0,0,3/15/2021,{'unit': 'gram', 'quantity': '1', 'price': 70, 'label': '1 g', 'onSale': False, 'originalPrice': 70}
PAX - Guava13 Pod 0.5g,concentrates,0,0,3/18/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 60, 'label': '1/2 g', 'onSale': False, 'originalPrice': 60}
PAX - Jack Herer EHO Pod 0.5g,concentrates,0,0,3/18/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 60, 'label': '1/2 g', 'onSale': False, 'originalPrice': 60}
PAX - Limefire Skunk Pod 0.5g,concentrates,0,0,3/27/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 60, 'label': '1/2 g', 'onSale': False, 'originalPrice': 60}
PAX - Red Dragon Pod 0.5mL,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 60, 'label': '1/2 g', 'onSale': False, 'originalPrice': 60}
PAX - Rhubarb Pie 1:1 Pod 0.5mL,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 60, 'label': '1/2 g', 'onSale': False, 'originalPrice': 60}
PAX - Sour Diesel EHO Pod 0.5mL,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 60, 'label': '1/2 g', 'onSale': False, 'originalPrice': 60}
PAX - Super Lemon Haze Pod 0.5g,concentrates,0,0,3/18/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 60, 'label': '1/2 g', 'onSale': False, 'originalPrice': 60}
Pineapple Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Purple Trainwreck Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Sativa Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Strawberry Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
Super Tahoe Shatter 1g,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1', 'price': 65, 'label': '1 g', 'onSale': False, 'originalPrice': 65}
Tiger Blood Distillate Dart 0.5g,concentrates,0,0,3/3/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 42, 'label': '1/2 g', 'onSale': False, 'originalPrice': 42}
G.G. #4 510 Cartridge | 0.5g,concentrates,0,0,1/24/2021,{'unit': 'gram', 'quantity': '1/2', 'price': 55, 'label': '1/2 g', 'onSale': False, 'originalPrice': 55}
Purple Trainwreck 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 9, 'label': 'each', 'onSale': False, 'originalPrice': 9}
5pk Blue Dream PRs,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 50, 'label': 'each', 'onSale': False, 'originalPrice': 50}
AC/DC 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
Cookies 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
Do-si-Dos 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
Jesus OG 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
Terp Stix - Jack Herer,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 22, 'label': 'each', 'onSale': False, 'originalPrice': 22}
Terp Stix - Purple Trainwreck,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 22, 'label': 'each', 'onSale': False, 'originalPrice': 22}
5pk Green Crack PRs 1g,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 50, 'label': 'each', 'onSale': False, 'originalPrice': 50}
5pk Guerilla Kush PRs 1g,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 55, 'label': 'each', 'onSale': False, 'originalPrice': 55}
5pk Purple Trainwreck PRs,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 50, 'label': 'each', 'onSale': False, 'originalPrice': 50}
ATF 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 11, 'label': 'each', 'onSale': False, 'originalPrice': 11}
Blue Dream 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 10, 'label': 'each', 'onSale': False, 'originalPrice': 10}
Blue Sherbert 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
Green Crack 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 11, 'label': 'each', 'onSale': False, 'originalPrice': 11}
Guerilla Kush 1g PR,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 12, 'label': 'each', 'onSale': False, 'originalPrice': 12}
Terp Stix - Apricot Peach,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 22, 'label': 'each', 'onSale': False, 'originalPrice': 22}
Terp Stix - ATF,pre-roll,0,0,1/24/2021,{'unit': 'unit', 'quantity': '1', 'price': 22, 'label': 'each', 'onSale': False, 'originalPrice': 22}
