Name,Flavour,Average Ratings,Category,Chemical Type,Energize Score,THC Potency,After Effects,Chemical Compound,Compound Description
blueberry-yum-yum,Blueberry Yum Yum,4.593495935,Hybrid,THC Dominant,0.18410295,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
wheres-my-bike,Where's My Bike,4.578947368,Hybrid,THC Dominant,1.060369409,slightly more,happy,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
potato-runtz,Potato Runtz,5,Hybrid,Unknown,0.637344222,,relaxed,,
tropicana-punch,Tropicana Punch,4.454545455,Hybrid,THC Dominant,0.336773695,comparable,relaxed,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
lemon-thai,Lemon Thai,4.057971014,Sativa,THC Dominant,1.048747838,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
butter-og,Butter OG,4.322580645,Indica,THC Dominant,-1.213206727,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
citrus-farmer,Citrus Farmer,4.071428571,Hybrid,THC Dominant,2,slightly more,happy,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
sour-glue,Sour Glue,5,Hybrid,THC Dominant,1.249219939,comparable,uplifted,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
medellin,Medellin,4.3125,Hybrid,THC Dominant,0.229427078,more,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
suver-haze,Suver Haze,4.535714286,Hybrid,CBD Dominant,-0.516762821,,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
lemon-jack,Lemon Jack,4.276595745,Sativa,THC Dominant,1.29913987,comparable,energetic,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
super-jack,Super Jack,4.514705882,Sativa,THC Dominant,1.249219939,comparable,energetic,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
night-terror-og,Night Terror,4.643939394,Indica,THC Dominant,-0.833761225,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
gobbstopper,Gobbstopper,4.65,Indica,THC Dominant,-1.06849111,slightly less,relaxed,,
pb-souffl,Peanut Butter Soufflé,4.65,Hybrid,Unknown,0.399392555,,relaxed,,
chemdawg-sour-diesel,Sour Chem,4.468468468,Hybrid,THC Dominant,0.678827322,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
willys-wonder,Willy's Wonder,4.197478992,Indica,THC Dominant,-0.273847322,comparable,euphoric,Myrcene,The most common terpene found in cannabis and has an earthy scent.
orange-velvet,Orange Velvet,4.279411765,Hybrid,THC Dominant,0.715042726,comparable,uplifted,,
orange-blossom,Orange Blossom,4.459459459,Hybrid,THC Dominant,0.099240755,slightly more,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
jack-haze,Jack Haze,4.050847458,Hybrid,THC Dominant,1.425046295,less,uplifted,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
northern-hashplant,Northern Hashplant,4.525,Indica,THC Dominant,-1.039648484,slightly less,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
blue-frost,Blue Frost,4.446043165,Hybrid,THC Dominant,0.083742383,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
nitro-cookies,Nitro Cookies,4.25,Hybrid,THC Dominant,-0.45043483,comparable,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
strawberry-cookies,Strawberry Cookies,4.8,Hybrid,THC Dominant,,comparable,tingly,Myrcene,The most common terpene found in cannabis and has an earthy scent.
tropic-truffle,Tropic Truffle,4.636363636,Hybrid,THC Dominant,0.484375293,slightly more,uplifted,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
hulkamania,Hulkamania,4.875,Indica,THC Dominant,0.456047714,comparable,aroused,,
blue-diamond,Blue Diamond,4.272058824,Indica,THC Dominant,-0.299354406,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
sour-lemon-og,Sour Lemon,4.542857143,Hybrid,THC Dominant,0.660877904,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
exodus-cheese,Exodus Cheese,4.158273381,Hybrid,THC Dominant,0.255244618,comparable,happy,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
julius-caesar,Julius Caesar,4.527272727,Hybrid,THC Dominant,0.195991246,slightly less,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
blood-orange-kush,Blood Orange Kush,4.5,Indica,THC Dominant,0.10195297,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
triple-scoop,Triple Scoop,4.75,Hybrid,THC Dominant,-1.130296738,slightly more,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
dirty-girl,Dirty Girl,4.539772727,Sativa,THC Dominant,0.726249241,comparable,happy,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
jacks-cleaner,Jack's Cleaner,4.175,Sativa,THC Dominant,1.118477265,slightly less,euphoric,Terpinolene,"Herbal, floral terpene that is also found in apples, lilacs, and nutmeg."
queen-mother-goji,Queen Mother Goji,4.666666667,Indica,THC Dominant,-0.138367069,slightly more,relaxed,,
crown-royale,Crown Royale,4.710526316,Indica,THC Dominant,-0.809607159,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
rolls-choice,Rolls Choice,4.74137931,Hybrid,Unknown,0.229427078,,happy,,
yellow-zushi,Yellow Zushi,4.333333333,Hybrid,Unknown,-1.810158646,,sleepy,,
smores,S'mores,4.5,Hybrid,THC Dominant,-1.810158646,slightly less,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
citrus-kush,Citrus Kush,4.117647059,Hybrid,THC Dominant,-0.207627006,slightly more,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
critical-plus,Critical Plus,4.217142857,Hybrid,THC Dominant,-0.049204852,comparable,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
tally-mon,Tally Mon,4.6,Hybrid,THC Dominant,0.229427078,slightly more,uplifted,Myrcene,The most common terpene found in cannabis and has an earthy scent.
maui,Maui,4.073825503,Sativa,THC Dominant,0.693608656,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
kryptonite,Kryptonite,4.129230769,Indica,THC Dominant,-0.593360345,slightly less,relaxed,Myrcene,The most common terpene found in cannabis and has an earthy scent.
the-third-dimension,3D,4.523809524,Hybrid,THC Dominant,0.533195164,less,uplifted,Myrcene,The most common terpene found in cannabis and has an earthy scent.
wonder-woman,Wonder Woman,4.45508982,Hybrid,THC Dominant,0.530729514,less,happy,Pinene,Pine-scented terpene that is also found in rosemary and many other herbs.
monster-og,Monster OG,4.84,Hybrid,THC Dominant,-0.45043483,much more,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
lemon-og-haze,Lemon OG Haze,4.377358491,Hybrid,THC Dominant,0.353038334,slightly more,relaxed,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
watermelon-gelato,Watermelon Gelato,4.666666667,Hybrid,THC Dominant,0.229427078,comparable,uplifted,Caryophyllene,"Spicy, peppery terpene that may have anti-inflammatory benefits."
lemon-sorbet-3,Lemon Sorbet #3,4.769230769,Hybrid,THC Dominant,-0.061942311,comparable,happy,Limonene,Citrus-scented terpene commonly believed to provide anxiety and stress relief.
pineapple-trainwreck,Pineapple Trainwreck,4.153846154,Hybrid,THC Dominant,0.648032008,comparable,happy,Myrcene,The most common terpene found in cannabis and has an earthy scent.
